Company Name,Company Type,Industry Sector,Brief Description,Location (County),Location,Website,LinkedIn Profile,Employees,Latitude,Longitude
bioMérieux,Manufacturing & Production,Medical Devices & Diagnostics,Major hub for manufacturing diagnostic systems and microbiology testing.,St. Louis County,"595 Anglum Rd
Hazelwood, MO 63042, US",https://www.biomerieux.com,https://www.linkedin.com/company/biomerieux,10001,38.77182,-90.389034
WellSky,Business & Technical Services,Digital Health & Clinical Tech,Healthcare software solutions for home health and community care.,St. Louis County,"11300 Switzer Rd
Overland Park, Kansas 66210, US",https://wellsky.com/,https://www.linkedin.com/company/wellsky,1001-5000,38.924237,-94.708871
Bond Biosciences,Research & Development,Pharmaceuticals,Developing non-absorbed oral therapeutics for iron overload disorders.,St. Louis City,"170 English Landing Dr
Suite 201B
Parkville, Missouri 64152, US",https://bond.bio/,https://www.linkedin.com/company/bond-biosciences,2-10,39.188689,-94.6857
BRDG Park,Business & Technical Services,Enabling Tools & Platforms,Bio-Research & Development Growth Park; provides labs and office space for AgTech.,St. Louis County,"1005 N. Warson Road
Saint Louis, MO 63132, US",https://brdgpark.com,https://www.linkedin.com/company/brdg-park,201-500,38.676203,-90.395381
Bruker Spatial (Canopy),"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,Formerly Canopy Biosciences; provides spatial biology and multi-omics services.,St. Louis City,,https://brukerspatialbiology.com/,https://www.linkedin.com/company/bruker-spatial,201-500,0,0
C2N Diagnostics,Contract Services,Neurotechnology & Brain Health,Advanced diagnostics for Alzheimer’s disease (blood-based amyloid tests).,St. Louis City,"20 S Sarah St
St Louis, Missouri 63108, US",https://c2n.com/,https://www.linkedin.com/company/c2n-diagnostics,51-200,38.637034,-90.2469
Cadre Bioscience,Research & Development,Pharmaceuticals,Asset-centric development company focused on early-stage therapeutics.,St. Louis City,"4340 Duncan Ave, St. Louis, MO 63110",https://www.cadrebio.com,https://www.linkedin.com/company/cadre-bioscience,2-10,38.636248,-90.255336
Canopy Biosciences,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"(See Bruker Spatial); gene editing, expression analysis, and CRO services.",St. Louis City,"4340 Duncan Ave, St. Louis, MO 63110",https://www.canopybiosciences.com,https://www.linkedin.com/company/canopy-biosciences,51-200,38.636248,-90.255336
CapyBio,Research & Development,Medical Devices & Diagnostics,Biotech startup focused on innovative diagnostic solutions.,St. Louis City,"4340 Duncan Ave, St. Louis, MO 63110",,https://www.linkedin.com/company/capybio,2-10,38.636248,-90.255336
Cofactor Genomics,Contract Services,Cancer/Oncology,RNA-based diagnostics and predictive immunology for cancer treatment.,St. Louis City,"4044 Clayton Ave
Saint Louis, MO 63110, US",https://en.wikipedia.org/wiki/Cofactor_Genomics,https://www.linkedin.com/company/cofactor-genomics,11-50,38.631845,-90.248523
Confluence Discovery,Contract Services,Pharmaceuticals,(Now Aclaris); CRO providing drug discovery research in immunology/oncology.,St. Louis City,"4340 Duncan Avenue
Suite 400
Saint Louis, MO 63110
United States",https://confluencediscovery.com,https://www.linkedin.com/company/confluence-discovery-technologies,11-50,38.636248,-90.255336
Corza Medical,Manufacturing & Production,Medical Devices & Diagnostics,"Manufacturer of surgical technologies, sutures, and ophthalmology devices.",St. Louis County,,,,,0,0
CoverCress Inc.,Research & Development,Agriculture & Food,Developing a new winter oilseed crop (pennycress) for renewable fuel and feed.,St. Louis County,"10407 Baur Blvd
Suite A
St Louis, Missouri 63132, US",https://www.covercress.com,https://www.linkedin.com/company/covercress-inc,11-50,38.684797,-90.389972
CQuesta,Research & Development,Agriculture & Food,Focuses on gene editing for carbon sequestration in crop roots.,St. Louis County,"208 North Green Street
Room 312
Chicago, IL 60607-1702
United States",https://www.cquestallc.com,https://www.linkedin.com/company/cquesta,2-10,41.885696,-87.648492
CSL Plasma,Contract Services,Pharmaceuticals,Plasma collection centers supporting CSL Behring’s therapies.,Multiple (City/County),,https://www.cslplasma.com,https://www.linkedin.com/company/csl-plasma,10001,0,0
CTC Genomics,Research & Development,Agriculture & Food,Comparative transcriptomics for crop improvement and poultry science.,St. Louis County,"1005 N Warson Rd, St. Louis, MO 63132",https://www.ctc.com.br,https://www.linkedin.com/company/ctc-genomics,,38.676203,-90.395381
Curium Pharma,Research & Development,Pharmaceuticals,World leader in nuclear medicine; manufactures radiopharmaceuticals.,St. Louis County,Maryland Heights,https://www.curiumpharma.com,https://www.linkedin.com/company/curium-pharma,,38.723951,-90.447418
Danforth Technology Co,Research & Development,Enabling Tools & Platforms,Subsidiary of Danforth Center facilitating startup formation and tech transfer.,St. Louis County,,https://danforthtechnology.com/,https://www.linkedin.com/company/danforthtechnology,,0,0
Daya CNS,Research & Development,Neurotechnology & Brain Health,Therapeutics for central nervous system disorders and chronic pain.,St. Louis City,"204 City Gate Lane, Saint Peters, MO 63303",dayacns.com,LinkedIn,2-10,38.750686,-90.555439
Definitive Diagnostics,Research & Development,Medical Devices & Diagnostics,Developing diagnostics for infectious diseases.,St. Louis City,,,,,0,0
Donald Danforth Center,Research & Development,Agriculture & Food,The world's largest independent non-profit plant science research institute.,St. Louis County,"975 N Warson Rd, Olivette, MO 63132",danforthcenter.org,LinkedIn,201-500,38.675875,-90.396818
Edison Electrosciences,Research & Development,Agriculture & Food,Uses electro-physiology to analyze plant health and optimize inputs.,St. Louis City,"1100 Corporate Square Dr, St. Louis, MO 63132.",https://edisonagrosciences.com/,LinkedIn,51-200,38.677479,-90.400576
Elekta,Manufacturing & Production,Medical Devices & Diagnostics,Manufacturer of radiotherapy solutions (brachytherapy) for cancer care.,St. Charles County,,elekta.com,LinkedIn,5001-10000,0,0
Elemental Enzymes,Research & Development,Agriculture & Food,Creates enzymatic and peptide solutions for crop health and fertilizer efficiency.,St. Louis County,"940 W Port Plaza Dr # 101, St. Louis, MO 63146",elementalenzymes.com,LinkedIn,51-200,38.701189,-90.448157
Eli Lilly and Company,Research & Development,Pharmaceuticals,Sales and clinical support operations (Headquarters in Indianapolis).,St. Louis County,,lilly.com,LinkedIn,5001-10000,0,0
Elira Therapeutics,Research & Development,Heart & Metabolic Health,Developing therapeutics for obesity and metabolic disorders.,St. Louis City,,eliratherapeutics.com,LinkedIn,11-50,0,0
EpiCrop Technologies,Research & Development,Agriculture & Food,Epigenetic breeding technologies to improve crop yields.,St. Louis City,"1005 North Warson Rd., Ste. 401B. St. Louis, MO 63132",https://epicrop.com/ EpiCrop Technologies+1,https://www.linkedin.com/company/epicrop-technologies-inc/ LinkedIn,,38.676203,-90.395381
Equator Therapeutics,Research & Development,Neurotechnology & Brain Health,Developing drugs that target mitochondrial uncouplers for weight loss/thermals.,St. Louis City,"4340 Duncan Ave Suite 201, St. Louis, MO 63110",https://equatortherapeutics.com/ Equator Therapeutics+1,https://www.linkedin.com/company/equator-therapeutics/ LinkedIn,,38.636248,-90.255336
Euclises Pharmaceuticals,Research & Development,Cancer/Oncology,Developing COX-2 inhibitors to treat cancer and improve immunotherapy.,St. Louis City,"4320 Forest Park Ave Study, St. Louis, MO 63108",https://www.euclises.com/,https://www.linkedin.com/company/euclises-pharmaceuticals/,,38.637204,-90.252445
Euphrates Vascular,Research & Development,Heart & Metabolic Health,Medical devices for treating vascular occlusions (Nano-Scale Unclogging).,St. Louis County,"8460 Watson Rd Suite 112, St. Louis, MO 63119",https://www.euphratesvascular.com/,https://www.linkedin.com/company/euphrates-vascular/,,38.565235,-90.354221
Express Scripts,Business & Technical Services,Digital Health & Clinical Tech,"Pharmacy Benefit Manager (PBM), part of Cigna; manages prescription services.",St. Louis County,4600 N Hanley Rd,https://www.express-scripts.com,https://www.linkedin.com/company/express-scripts,10001,41.349037,-93.884381
EyePromise,Manufacturing & Production,Pharmaceuticals,Nutraceuticals and vitamins specifically for eye health and visual performance.,St. Louis County,,,,,0,0
Ferris Genomics Inc.,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,Cloud-based platform for genomic data analysis and visualization.,St. Louis City,"1100 Corporate Square Drive · Suite 150-15 · Saint Louis, MO 63132",https://www.ferrisgenomics.com/, ,,38.677479,-90.400576
ForgeHealth,Business & Technical Services,Digital Health & Clinical Tech,Value-based healthcare focused on mental health and substance use.,St. Louis City,,,,,0,0
Forward Defense,Research & Development,Industrial Biotech & Materials,Bio-defense and screening technologies for security applications.,St. Louis City,"6 Watch Hill Road, Saint Louis, MO 63124",https://www.inknowvation.com/sbir/companies/forward-defense-llc,https://www.linkedin.com/company/forwarddefense/,2-10,38.660085,-90.394154
Freudenthal Home Health,Contract Services,Digital Health & Clinical Tech,In-home healthcare services and senior care management.,Multiple (Regional),,,,,0,0
Fuse (Bayer),"Tools, Instrumentation, & Platforms",Agriculture & Food,Bayer’s digital farming hub creating software for agronomic decisions.,St. Louis County,,https://www.fusesmartfarming.com/ Fuse Smart Farming,https://www.linkedin.com/company/fuse-smart-farming/,,0,0
G-Biosciences,Manufacturing & Production,Enabling Tools & Platforms,"Manufacturer of life science lab reagents, kits, and protein research tools.",St. Louis County,,https://www.gbiosciences.com,https://www.linkedin.com/company/g-biosciences,11-50,0,0
Galera Therapeutics,Research & Development,Cancer/Oncology,Therapeutics to reduce side effects of radiotherapy in cancer patients.,St. Louis County,"101 Lindenwood Drive, Suite 225",https://www.galeratx.com/,https://www.linkedin.com/company/galera-therapeutics/,11-50,42.483429,-71.107831
Geneoscopy,Research & Development,Medical Devices & Diagnostics,Non-invasive diagnostic tests for colorectal cancer using RNA from stool.,St. Louis City,"2220 Welsch Industrial Ct, St. Louis, MO 63146",https://www.geneoscopy.com,https://www.linkedin.com/company/geneoscopy,51-200,38.700041,-90.434003
"Graematter, Inc.",Business & Technical Services,Medical Devices & Diagnostics,Regulatory intelligence software for medical device compliance.,St. Louis County,"Ballwin, MO, USA",https://graematter.com/ Graematter Inc+1,https://www.linkedin.com/company/graematter-inc-/ LinkedIn,,38.638318,-90.427118
GreenLight Biosciences,Manufacturing & Production,Agriculture & Food,Manufacturing RNA-based solutions for crop protection (acquired facility).,St. Louis County,,https://www.greenlightbiosciences.com/ GreenLight Biosciences+2GreenLight Biosciences+2,https://www.linkedin.com/company/greenlight-biosciences/,11-50,0,0
Grifols,Contract Services,Pharmaceuticals,Plasma collection and biopharmaceutical therapies.,Multiple (City/County),"5121 Delmar Blvd, St. Louis, MO 63108",grifols.com,LinkedIn,,38.652356,-90.267634
Haleon,Manufacturing & Production,Pharmaceuticals,Consumer health manufacturing (produces Tums); formerly GSK Consumer Health.,St. Louis City,,,,,0,0
ICL Group,Manufacturing & Production,Agriculture & Food,"Global specialty minerals and chemical company advancing sustainable agriculture, food, and industrial solutions through innovative biotech-driven manufacturing and research.",St. Louis City,"8201 Idaho Ave, St. Louis, MO 63111",icl-group.com,LinkedIn,51-200,38.547354,-90.269734
Immunophotonics,Research & Development,Cancer/Oncology,Clinical-stage biotechnology company developing novel immunotherapy drugs that convert tumors into personalized cancer vaccines to improve patient outcomes.,St. Louis City,"4340 Duncan Ave Suite 212, St. Louis, MO 63110",immunophotonics.com,LinkedIn,11-50,38.636248,-90.255336
Impetus Agriculture,Research & Development,Agriculture & Food,"Biotechnology company developing insect-control biologics that activate plant immune pathways to provide sustainable, non-toxic crop protection.",,"4340 Duncan Ave, St. Louis, MO 63110",impetusag.com,LinkedIn,11-50,38.636248,-90.255336
Intact Genomics,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Biotechnology company that develops and supplies advanced DNA tools, reagents, and mega-insert cloning technologies to accelerate genomics research and synthetic biology.",Mid St. Louis County,"11840 Westline Industrial Dr Suite 120, St. Louis, MO 63146",intactgenomics.com,LinkedIn,51-200,38.702219,-90.436554
Intent,Research & Development,Agriculture & Food,"Agricultural biotechnology company developing RNA-based biopesticides that provide precise, environmentally safe crop protection without traditional chemicals.",Mid St. Louis County,"1100 Corporate Square Dr. Suite 214 / St. Louis, MO 63162",intent.ag,LinkedIn,51-200,38.677479,-90.400576
"InterShunt Technologies, Inc.",Research & Development,Heart & Metabolic Health,Medical device company developing a minimally invasive implant that reduces left atrial pressure for patients with heart failure.,St. Louis City,"4320 Forest Park Ave. St Louis, Missouri, US",intershunt.com ,LinkedIn LinkedIn,,38.637204,-90.252445
Jost Chemical ,Manufacturing & Production,Industrial Biotech & Materials,"Manufacturer specializing in high-purity mineral salts and specialty chemicals used in pharmaceuticals, nutrition, and biotech production.",North St. Louis County,"8150 Lackland Rd, St. Louis, MO 63114",https://www.jostchemical.com/,https://www.linkedin.com/company/jost-chemical-co-/,201-500,38.709629,-90.332227
Kindeva,Contract Services,Pharmaceuticals,"Global drug delivery company with major operations in St. Louis, specializing in developing and manufacturing inhalation, transdermal, and injectable drug-delivery systems for pharmaceutical partners.",Mid St. Louis County,"1945 Craig Rd, St. Louis, MO 63146",https://www.kindevadd.com/,https://www.linkedin.com/company/kindeva/,1001-5000,38.695058,-90.445418
"Kinimmune, Inc.",Research & Development,Cancer/Oncology,Biotechnology company developing next-generation immunotherapies that harness innate immune pathways to treat cancer and other serious diseases,St. Louis City,"4340 Duncan Ave, Suite 276, St. Louis, MO 63110",https://kinimmune.bio/,https://www.linkedin.com/company/kinimmune-inc/,2-10,38.636248,-90.255336
Kultevat,Research & Development,Industrial Biotech & Materials,Industrial biotechnology company developing sustainable natural rubber from Russian dandelions as an alternative to petroleum-based and imported rubber sources.,Mid St. Louis County,"1100 Corporate Square Dr #261, St. Louis, MO 63132",https://kultevat.com,,,38.677479,-90.400576
KWS Gateway Research Center,Research & Development,Agriculture & Food,"St. Louis innovation hub of KWS, where scientists develop advanced seed traits and crop genetics to improve global agricultural productivity and sustainability.",Mid St. Louis County,"1005 N Warson Rd, St. Louis, MO 63132",https://www.kws.com/,,,38.676203,-90.395381
Kypha Inc.,Research & Development,Medical Devices & Diagnostics,Diagnostics company developing rapid immune monitoring assays and analytics to measure inflammation and guide clinical decision-making.,St. Louis City,"4340 Duncan Ave Ste 204, St. Louis, MO 63110",https://kypha.net/,https://www.linkedin.com/company/kypha-inc/ LinkedIn,11-50,38.636248,-90.255336
Legacy Pharmaceutical Solutions,Business & Technical Services,Pharmaceuticals,"Pharmaceutical logistics and distribution company providing medication repackaging, supply chain management, and specialty fulfillment services for healthcare providers and pharmacies.",North St. Louis County,"13333 Lakefront Dr, Earth City, MO 63045",https://www.legacypackaging.com,https://www.linkedin.com/company/legacy-pharmaceutical-packaging,201-500,38.771345,-90.456503
Leinco Technologies ,Manufacturing & Production,Enabling Tools & Platforms,"Biotechnology company that manufactures high-quality antibodies, recombinant proteins, and custom assay reagents for biopharmaceutical and diagnostic research.",South St. Louis County,"410 Axminister Dr, Fenton, MO 63026",https://www.leinco.com/,https://www.linkedin.com/company/leinco-technologies/,51-200,38.536238,-90.446311
LiquidCell Dx,Research & Development,Cancer/Oncology,Diagnostics company developing point-of-care liquid biopsy technology that isolates intact circulating tumor cells for earlier and less invasive cancer detection.,St. Louis City,"4240 Duncan Avenue. Suite 110. St. Louis, MO 63110. 314-747-1794.",https://liquidcelldx.com/#about,https://www.linkedin.com/company/liquidcell-dx/,2-10,38.634691,-90.251384
Lymbus Oncology,Research & Development,Cancer/Oncology,Biopharmaceutical company developing small-molecule cancer therapies that target tumor immune evasion and resistance pathways.,St. Louis City,"4512 West Pine Boulevard
Saint Louis, MO 63108",,,,38.640775,-90.259119
Magellan Health,Business & Technical Services,Digital Health & Clinical Tech,"National healthcare management company with major operations in St. Louis, specializing in behavioral health services, pharmacy benefit management, and complex care coordination for health systems, employers, and government programs.",Mid St. Louis County,"13500 Riverport Dr, Maryland Heights, MO 63043",https://www.magellanhealth.com,https://www.linkedin.com/company/magellan-health,1001-5000,38.748646,-90.464724
Mallinckrodt Pharmaceuticals,Manufacturing & Production,Pharmaceuticals,"Global specialty pharmaceutical company with significant St. Louis operations, developing, manufacturing, and commercializing branded and generic medicines for rare diseases, autoimmune disorders, and pain management.",North St. Louis County,"675 James S. McDonnell Blvd, Hazelwood, MO 63042",https://www.mallinckrodt.com,https://www.linkedin.com/company/mallinckrodt-pharmaceuticals,1001-5000,38.776818,-90.383654
MediBeacon,Research & Development,Medical Devices & Diagnostics,Medical device company developing fluorescent tracer-based optical monitoring systems that enable real-time kidney function measurement without blood draws.,Mid St. Louis County,"425 N New Ballas Rd, Creve Coeur, MO 63141",https://www.medibeacon.com,https://www.linkedin.com/company/medibeacon,11-50,38.663389,-90.44415
Mediomics,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Biotechnology company that develops rapid, antibody-based biosensor assays and detection kits for research, diagnostic, and industrial applications.",St. Louis City,"5445 Highland Park Dr, St. Louis, MO 63110",https://www.mediomics.com,https://www.linkedin.com/company/mediomics,2-10,38.62812,-90.276747
Merck,Manufacturing & Production,Industrial Biotech & Materials,"Major global manufacturing and innovation hub for high-performance reagents, enzymes, and chemicals used in pharmaceutical development, diagnostics, and biotech research.",St. Louis City,"2909 Laclede Ave St. Louis, MO 63103",https://www.merck.com,https://www.linkedin.com/company/merck,5001-10000,38.632257,-90.221049
Metablify,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Biotech startup developing advanced metabolomics analytics and AI-driven data tools to accelerate biological discovery, drug development, and precision health research.",St. Louis City,"2315 Locust St Suite 2b St. Louis, MO 63103",https://metablify.com/,,2-10,38.634252,-90.212825
MilliporeSigma,Manufacturing & Production,Industrial Biotech & Materials,"Major global center for manufacturing high-purity chemicals, reagents, and biologics, as well as developing advanced tools and technologies that support pharmaceutical, diagnostic, and biotech research.",St. Louis City,"3050 Spruce St St. Louis Mo 63103;3500 Dekalb St, St. Louis, MO 63118;2909 Laclede Ave, St. Louis, MO 63103",https://www.sigmaaldrich.com,https://www.linkedin.com/company/milliporesigma,10001,38.629256;38.589825159845915;38.600385822659256,-90.227743;-90.21620005238837;-90.20268204204802
Mobius Therapeutics,Manufacturing & Production,Pharmaceuticals,Ophthalmic pharmaceutical company focused on developing and manufacturing sterile injectable formulations for use in eye surgery and ocular disease treatments.,West St. Louis County,"1000 Executive Pkwy Dr Apt 224, St. Louis, MO 63141",https://builtin.com/companies/location/st-louis/type/biotech-companies,https://www.linkedin.com/company/mobius-therapeutics-llc,11-50,38.674561,-90.472165
Myonid,Research & Development,Heart & Metabolic Health,Biotechnology company developing therapies that stimulate muscle regeneration and combat muscle wasting disorders using small molecules that activate satellite cell repair pathways.,St. Louis City,"4340 Duncan Avenue Suite 255 Saint Louis, MO 63110
",,,11-50,38.636248,-90.255336
Neurolutions,Research & Development,Neurotechnology & Brain Health,Neurotechnology company developing a brain–computer interface system that uses EEG signals and robotic rehabilitation to restore motor function in stroke patients.,St. Louis City,"4220 Duncan Ave, Suite 201, St. Louis, MO 63110",https://www.neurolutions.com/,,11-50,38.634305,-90.250253
NewLeaf Symbiotics,Research & Development,Agriculture & Food,"Agricultural biotechnology company developing beneficial pink-pigmented plant bacteria (M-trophs) as microbial seed treatments and crop inputs to improve yield, sustainability, and plant health.",Mid St. Louis County,"1001 N Warson Rd, Olivette, St. Louis, MO 63132",https://newleafsym.com,https://www.linkedin.com/company/newleaf-symbiotics,11-50,38.673905,-90.396881
Omniose,Research & Development,Pharmaceuticals,Biotechnology company developing novel carbohydrate-based conjugate vaccines that prevent invasive bacterial infections by targeting previously inaccessible microbial sugars.,St. Louis City,"4340 Duncan Avenue, Suite 202, St. Louis, MO 63110",https://www.omniose.com,https://www.linkedin.com/company/omniose,11-50,38.636248,-90.255336
OpenCell Technologies,"Tools, Instrumentation, & Platforms",Synthetic & Engineered Biology,"Biotechnology company developing a gentle, microfluidic cell-handling platform that enables efficient intracellular delivery without viral vectors or electroporation.",St. Louis City,"4340 Duncan Avenue, Suite 202, St. Louis, MO 63110",https://www.opencelltech.com,https://www.linkedin.com/company/opencell-technologies,2-10,38.636248,-90.255336
OxaluRx,Research & Development,Heart & Metabolic Health,Biopharmaceutical company developing small-molecule therapeutics that reduce pathological oxalate levels to treat kidney stones and rare metabolic disorders.,,,,,2-10,0,0
Pairidex,Research & Development,Pharmaceuticals,"Biotechnology company developing novel antimicrobial therapeutics for oral health, including prescription treatments that selectively target pathogenic bacteria involved in periodontal disease.",St. Louis City,"4340 Duncan Avenue Suite 213. St. Louis, MO 63110",https://pairidex.com/,https://www.linkedin.com/company/pairidex/,2-10,38.636248,-90.255336
Panome Bio,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Biotech company developing high-resolution metabolomics and pan-omic profiling tools that enable deep biological insight for drug discovery, precision medicine, and microbiome research.",St. Louis City,"4340 Duncan Avenue Suite 213. St. Louis, MO 63110",https://www.panomebio.com,https://www.linkedin.com/company/panome-bio,11-50,38.636248,-90.255336
Partek Inc.,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Bioinformatics software company providing advanced statistical and machine-learning tools for genomics, transcriptomics, and single-cell data analysis.",West St. Louis County,"12747 Olive Blvd # 205, St. Louis, MO 63141",https://builtin.com/companies/location/st-louis/type/biotech-companies,https://www.linkedin.com/company/partek-inc-,11-50,38.68066,-90.471419
Peptyde Bio,Research & Development,Pharmaceuticals,Biotechnology company engineering peptide-based therapeutics with tunable biological activity to treat chronic and immune-mediated diseases.,,"75 Moulton St, Cambridge, MA 02138",https://peptydebio.com/,https://www.linkedin.com/company/peptydebio,,42.392437,-71.148553
Pfizer,Research & Development,Pharmaceuticals,"Pfizer’s St. Louis operations serve as a major research and development hub focused on biotherapeutic discovery, analytical testing, and process development supporting the company’s global drug pipeline.",West St. Louis County,"875 Chesterfield Pkwy W, Chesterfield, MO 63017",https://www.pfizer.com,https://www.linkedin.com/company/pfizer,10001,38.657557,-90.55426
PlasmaBionics,"Tools, Instrumentation, & Platforms",Animal Health & Veterinary Biotech,Veterinary biotechnology company developing cold-plasma sterilization systems that safely eliminate pathogens on animal wounds and surgical sites without antibiotics.,,"1414 South Sangre Road, Suite 101, Stillwater, OK 74074",https://plasmabionics.com/,https://www.linkedin.com/company/plasma-bionics-llc/,,36.105572,-97.106006
"Plastomics, Inc.",Research & Development,Agriculture & Food,"Agricultural biotechnology company developing next-generation crops through chloroplast engineering, enabling stable plant transformation and improved agronomic traits.",Mid St. Louis County,"1100 Corporate Square Drive St. Louis, MO 63132",https://plastomics.com/homepages/about-us/,https://www.linkedin.com/company/plastomics,11-50,38.677479,-90.400576
